date,tmin,tmax,prcp,wdir,wspd,pres,ville
2023-12-15,9.3,18.7,0.0,98.0,6.9,1025.9,Casablanca
2023-12-16,9.8,23.8,0.0,139.0,4.5,1026.6,Casablanca
2023-12-17,8.4,19.6,0.0,138.0,5.0,1028.7,Casablanca
2023-12-18,9.4,18.4,0.0,88.0,9.6,1029.4,Casablanca
2023-12-19,9.4,17.4,0.0,95.0,6.4,1029.9,Casablanca
2023-12-20,9.4,19.2,0.0,233.0,7.1,1030.2,Casablanca
2023-12-21,11.9,18.1,6.9,115.0,6.0,1025.6,Casablanca
2023-12-22,10.0,19.4,0.0,222.0,6.0,1025.3,Casablanca
2023-12-23,9.4,19.9,0.0,193.0,5.2,1025.1,Casablanca
2023-12-24,8.4,18.9,0.0,160.0,5.3,1024.7,Casablanca
2023-12-25,9.4,18.2,0.0,131.0,5.9,1023.5,Casablanca
2023-12-26,10.9,17.8,0.0,128.0,6.6,1022.5,Casablanca
2023-12-27,11.8,17.9,0.0,126.0,7.6,1022.4,Casablanca
2023-12-28,8.1,22.7,0.0,170.0,3.8,1023.4,Casablanca
2023-12-29,11.2,23.4,0.0,234.0,5.2,1023.1,Casablanca
